== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_fc0910_base  2018_baseline  2026_fc0910_nopool  2018_nopool  2026_fc0910_seed1  2026_fc0910_seed2  2026_fc0910_seed3  2026_fc0910_seed4  2026_fc0910_seed5  2026_fc0910_seed6  2026_fc0910_seed7  2026_fc0910_seed8  2026_fc0910_seed9  2026_fc0910_seed10  2026_fc0910_deep20  2026_fc0910_fleet40  2026_fc0910_fleet20  2026_fc0910_stock7  2026_fc0910_stock7t  2026_fc0910_rail04  2026_fc0910_package  2026_fc0910_liq60  2026_fc0910_floors_m10  2026_fc0910_floors_p10  2026_fc0910_inv050  2026_fc0910_inv150  2026_fc0910_lr0  2026_fc0910_lr1
AUT_net_deferrable_mUSD              11.000          1.000             891.000      202.000             11.000             14.000             16.000              4.000             13.000             12.000              6.000             14.000             14.000              12.000               0.000               12.000                4.000              10.000               11.000              11.000                  0.0             10.000                   3.000                  10.000            1378.000              11.000           11.000           11.000
AUT_gross_perishable_mUSD           166.000        108.000            3523.000     1865.000             12.000            102.000            104.000            262.000             98.000            141.000            125.000            113.000             15.000             197.000             150.000              161.000               60.000               3.000               13.000             166.000                  0.0            140.000                 155.000                 140.000            2117.000              65.000          166.000          166.000
FRA_net_mUSD                       1027.000        296.000            4475.000      499.000           1084.000            379.000            828.000            436.000            437.000            283.000            717.000            324.000           1505.000             423.000             301.000              977.000              203.000             557.000              938.000            1027.000                  0.0           1043.000                 397.000                1043.000           16186.000             615.000         1027.000         1027.000
FRA_delay_mUSD                       41.200          2.800             102.100       13.500              5.000              1.600             27.700              9.400              3.100              4.700             16.900              5.600             28.500               2.500               0.700               29.400                4.500              16.400               29.900              29.800                  0.0             30.600                   5.000                  30.600             243.000              17.600           29.800           29.800
FRA_net_deferrable_mUSD             570.000         35.000            2292.000      220.000             75.000             29.000            578.000            175.000             55.000             89.000            362.000            117.000            565.000              48.000               9.000              565.000               82.000             285.000              572.000             570.000                  0.0            582.000                  88.000                 582.000            7047.000             311.000          570.000          570.000
FRA_gross_perishable_mUSD           457.000        261.000            2182.000      279.000           1009.000            349.000            250.000            261.000            382.000            195.000            354.000            206.000            940.000             376.000             292.000              412.000              121.000             272.000              366.000             457.000                  0.0            461.000                 309.000                 461.000            9139.000             304.000          457.000          457.000
CHE_net_mUSD                         14.000          3.000             134.000        1.000              4.000             12.000              8.000              6.000              9.000             18.000              5.000              6.000              4.000              20.000               2.000               13.000                3.000               4.000               14.000              14.000                  0.0             14.000                   5.000                  14.000             894.000               4.000           14.000           14.000
CHE_delay_mUSD                        0.400          0.100               3.000        0.000              0.200              0.200              0.400              0.200              0.200              0.200              0.200              0.300              0.200               0.200               0.100                0.300                0.100               0.200                0.300               0.300                  0.0              0.300                   0.100                   0.300              19.200               0.200            0.300            0.300
CHE_net_deferrable_mUSD               6.000          2.000              79.000        1.000              4.000              5.000              8.000              4.000              4.000              4.000              4.000              6.000              4.000               4.000               2.000                5.000                1.000               4.000                5.000               6.000                  0.0              6.000                   3.000                   6.000             429.000               4.000            6.000            6.000
CHE_gross_perishable_mUSD             8.000          1.000              55.000        0.000              0.000              7.000              0.000              2.000              5.000             14.000              0.000              1.000              0.000              16.000               0.000                8.000                2.000               0.000                8.000               8.000                  0.0              9.000                   2.000                   9.000             466.000               0.000            8.000            8.000
BEL_net_mUSD                         22.000         11.000            4859.000     1223.000              9.000             22.000             37.000             22.000             11.000             17.000             27.000             24.000             26.000              17.000              12.000               21.000                8.000              13.000               23.000              22.000                  0.0             21.000                  13.000                  21.000            1436.000              13.000           22.000           22.000
BEL_delay_mUSD                        0.400          0.200              45.800       17.000              0.300              0.300              1.300              0.300              0.300              0.200              0.300              0.100              0.900               0.200               0.300                0.400                0.200               0.500                0.400               0.400                  0.0              0.400                   0.300                   0.400              11.400               0.500            0.400            0.400
BEL_net_deferrable_mUSD               2.000          0.000            1204.000      290.000              0.000              0.000             22.000              0.000              0.000              0.000              3.000              0.000             14.000               2.000               1.000                3.000                3.000               2.000                2.000               1.000                  0.0              2.000                   2.000                   2.000             295.000               3.000            2.000            2.000
BEL_gross_perishable_mUSD            20.000         10.000            3655.000      934.000              8.000             21.000             16.000             22.000             11.000             17.000             23.000             24.000             12.000              15.000              11.000               18.000                5.000              11.000               21.000              20.000                  0.0             20.000                  11.000                  20.000            1141.000              10.000           20.000           20.000
NLD_cum_mUSD                        184.000        115.000            5763.000      353.000            201.000            183.000            217.000            208.000            227.000            193.000            149.000            152.000            219.000             170.000             139.000              174.000               61.000             162.000              164.000             186.000                  0.0            159.000                 151.000                 159.000            1697.000             164.000          184.000          184.000
NLD_%quarter                          0.079          0.049               2.464        0.151              0.086              0.078              0.093              0.089              0.097              0.082              0.064              0.065              0.094               0.072               0.060                0.074                0.026               0.069                0.070               0.079                  0.0              0.068                   0.064                   0.068               0.726               0.070            0.079            0.079
NLD_peak_%week                        0.148          0.129              10.990        0.305              0.164              0.156              0.160              0.160              0.158              0.161              0.151              0.145              0.153               0.154               0.119                0.148                0.076               0.147                0.147               0.149                  0.0              0.131                   0.134                   0.131               1.102               0.148            0.148            0.148
NLD_peak_week                         9.000         16.000              21.000       21.000              9.000              8.000              9.000              9.000             13.000             13.000              9.000              9.000              9.000               9.000              13.000                9.000               10.000               9.000                9.000               9.000                 10.0              8.000                   9.000                   8.000              13.000               9.000            9.000            9.000
NLD_loss_weeks                       12.000         10.000              17.000       11.000             12.000             14.000             13.000             13.000             14.000             14.000             13.000             12.000             13.000              12.000              11.000               12.000                6.000              11.000               11.000              12.000                  0.0             13.000                  11.000                  13.000              25.000              12.000           12.000           12.000
AUT_cum_mUSD                        181.000        111.000            5002.000     2266.000             29.000            120.000            124.000            272.000            116.000            157.000            135.000            130.000             33.000             214.000             150.000              176.000               65.000              17.000               29.000             181.000                  0.0            154.000                 159.000                 154.000            3546.000              79.000          181.000          181.000
AUT_%quarter                          0.165          0.101               4.562        2.067              0.026              0.110              0.113              0.248              0.106              0.143              0.123              0.118              0.030               0.195               0.137                0.161                0.060               0.015                0.026               0.165                  0.0              0.140                   0.145                   0.140               3.234               0.072            0.165            0.165
AUT_peak_%week                        0.335          0.314               8.987        7.178              0.048              0.218              0.266              0.442              0.224              0.349              0.321              0.285              0.075               0.322               0.308                0.335                0.302               0.034                0.058               0.335                  0.0              0.356                   0.329                   0.356               3.950               0.241            0.335            0.335
AUT_peak_week                         9.000         16.000              19.000       23.000              8.000              9.000              8.000             11.000              9.000             11.000              9.000              8.000              9.000              12.000               9.000                9.000                9.000               9.000               17.000               9.000                 15.0              8.000                   9.000                   8.000              12.000               8.000            9.000            9.000
AUT_loss_weeks                       13.000          7.000              17.000       11.000              9.000             14.000             13.000             14.000             13.000             14.000             12.000             12.000             11.000              14.000              11.000               12.000                6.000               8.000               12.000              13.000                  0.0             15.000                  11.000                  15.000              25.000              12.000           13.000           13.000
FRA_cum_mUSD                       1101.000        330.000            5027.000      626.000           1132.000            395.000            843.000            478.000            470.000            327.000            915.000            340.000           1575.000             439.000             315.000             1041.000              233.000             641.000             1012.000            1101.000                  0.0           1124.000                 440.000                1124.000           16491.000             688.000         1101.000         1101.000
FRA_%quarter                          0.169          0.051               0.773        0.096              0.174              0.061              0.130              0.074              0.072              0.050              0.141              0.052              0.242               0.067               0.048                0.160                0.036               0.099                0.156               0.169                  0.0              0.173                   0.068                   0.173               2.536               0.106            0.169            0.169
FRA_peak_%week                        0.292          0.181               1.654        0.192              0.278              0.105              0.206              0.131              0.126              0.088              0.559              0.093              0.411               0.116               0.107                0.292                0.193               0.209                0.270               0.292                  0.0              0.270                   0.197                   0.270               6.014               0.214            0.292            0.292
FRA_peak_week                        10.000         16.000              17.000       21.000             15.000              8.000             15.000             16.000              9.000             15.000             16.000             15.000             16.000               9.000               9.000               10.000               14.000               9.000               10.000              10.000                 21.0             10.000                  14.000                  10.000              21.000               9.000           10.000           10.000
FRA_loss_weeks                       13.000          7.000              15.000       10.000             16.000             10.000             15.000             13.000             10.000             12.000             12.000             11.000             15.000              12.000               8.000               13.000                5.000              11.000               13.000              13.000                  0.0             14.000                  10.000                  14.000              25.000              11.000           13.000           13.000
CHE_cum_mUSD                         14.000          3.000             166.000        1.000              5.000             13.000              8.000              7.000              9.000             19.000              5.000              7.000              4.000              20.000               2.000               14.000                3.000               5.000               14.000              14.000                  0.0             15.000                   5.000                  15.000             919.000               5.000           14.000           14.000
CHE_%quarter                          0.007          0.001               0.082        0.001              0.002              0.006              0.004              0.003              0.005              0.009              0.002              0.003              0.002               0.010               0.001                0.007                0.002               0.002                0.007               0.007                  0.0              0.007                   0.003                   0.007               0.454               0.002            0.007            0.007
