== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2018_cal_seed1  2018_cal_seed2  2018_cal_seed3  2018_cal_seed4  2018_cal_seed5  2018_cal_seed6  2018_cal_seed7  2018_cal_seed8  2018_cal_seed9  2018_cal_seed10
27                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
28                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
29                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
30                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
31                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
32                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
33                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
34                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
35                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
36                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
37                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
38                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
39                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
40                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
41                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0
42                    0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0

written /projects/disruptsc/runs/rhine2026/compare_runs_batch.csv
