# links whose baseline route crosses rhine_mainz_koblenz; definition: any
# built 2026-09-21T21:34:10 from EU_logistic_routes.pkl (modified 2026-09-17T09:24:01); stage fingerprint: {'hash': 'add769
# counts {'total': 5746, 'dry_bulk': 3583, 'liquid_bulk': 2124, 'container': 39}; matches the extraction of 17 Sep 2026: True
seller_id,buyer_id,cargo_type,n_routes
12065,10052,dry_bulk,1
12065,2739,dry_bulk,1
12065,2746,dry_bulk,1
12065,2853,dry_bulk,1
12065,2857,dry_bulk,1
12065,2858,dry_bulk,1
12065,2874,dry_bulk,1
12065,2884,dry_bulk,1
12065,2892,dry_bulk,1
12065,3304,dry_bulk,1
12065,3307,dry_bulk,1
12065,hh_238,dry_bulk,1
12067,2736,dry_bulk,1
12067,2876,dry_bulk,1
12086,2736,liquid_bulk,1
12086,2740,liquid_bulk,1
12086,2741,liquid_bulk,1
12086,2809,liquid_bulk,1
12086,2810,liquid_bulk,1
12086,2814,liquid_bulk,1
12086,2815,liquid_bulk,1
12086,hh_235,liquid_bulk,1
12248,10204,dry_bulk,1
12248,9690,dry_bulk,1
12248,9711,dry_bulk,1
12248,9712,dry_bulk,1
12248,9719,dry_bulk,1
12248,9720,dry_bulk,1
12248,9721,dry_bulk,1
12248,9739,dry_bulk,1
12248,9750,dry_bulk,1
12248,9753,dry_bulk,1
12248,9761,dry_bulk,1
12248,9762,dry_bulk,1
12248,9775,dry_bulk,1
12248,9776,dry_bulk,1
12248,9791,dry_bulk,1
12248,9797,dry_bulk,1
12248,9798,dry_bulk,1
12332,2598,dry_bulk,1
12339,2596,dry_bulk,1
12342,2594,dry_bulk,1
12342,2595,dry_bulk,1
12342,2603,dry_bulk,1
12342,2608,dry_bulk,1
12342,2623,dry_bulk,1
12342,hh_211,dry_bulk,1
12342,hh_212,dry_bulk,1
12342,hh_213,dry_bulk,1
12342,hh_214,dry_bulk,1
12342,hh_226,dry_bulk,1
12342,hh_227,dry_bulk,1
12342,hh_241,dry_bulk,1
12343,2609,dry_bulk,1
12344,2593,dry_bulk,1
12344,hh_221,dry_bulk,1
12363,6536,dry_bulk,1
12363,hh_113,dry_bulk,1
12364,5860,dry_bulk,1
12389,2526,dry_bulk,1
12389,2532,dry_bulk,1
12389,2828,dry_bulk,1
12389,2833,dry_bulk,1
12389,2836,dry_bulk,1
12389,2840,dry_bulk,1
12389,2842,dry_bulk,1
12389,2843,dry_bulk,1
12389,2855,dry_bulk,1
12389,2856,dry_bulk,1
12389,2864,dry_bulk,1
12389,2865,dry_bulk,1
12389,2872,dry_bulk,1
12389,2885,dry_bulk,1
12396,2519,dry_bulk,1
12396,2522,dry_bulk,1
12396,2525,dry_bulk,1
12396,2533,dry_bulk,1
12396,2547,dry_bulk,1
12396,2826,dry_bulk,1
12396,2837,dry_bulk,1
12396,2846,dry_bulk,1
12396,2848,dry_bulk,1
12396,2861,dry_bulk,1
12396,2863,dry_bulk,1
12396,2873,dry_bulk,1
12396,2886,dry_bulk,1
12397,2517,dry_bulk,1
12397,2518,dry_bulk,1
12397,2862,dry_bulk,1
12398,2520,dry_bulk,1
12398,2527,dry_bulk,1
12408,2724,dry_bulk,1
12408,3204,dry_bulk,1
12408,3233,dry_bulk,1
12409,2730,dry_bulk,1
12409,3205,dry_bulk,1
12409,3208,dry_bulk,1
12409,3211,dry_bulk,1
12410,2720,dry_bulk,1
