== cumulated value-added loss (mUSD), % of a quarter, peak week (% of a week's VA), loss weeks (> 0.01 % of a week) ==
   gross = weekly shortfalls clipped at zero; net = backlog left at the end for goods and construction (A-F) + gross for the perishable sectors; delay = carrying cost of the backlog while outstanding
run                        2026_cal_base  2026_cal_nopool  2018_cal_nopool  2026_cal_seed1  2026_cal_seed2  2026_cal_seed3  2026_cal_seed4  2026_cal_seed5  2026_cal_seed6  2026_cal_seed7  2026_cal_seed8  2026_cal_seed9  2026_cal_seed10  2026_cal_deep20  2026_cal_fleet40  2026_cal_fleet20  2026_cal_stock7  2026_cal_stock7t  2026_cal_package  2026_cal_liq60
21                   2.7              0.2           1157.2             0.1             2.7             0.0             3.4             0.3             4.8             0.0             0.3             0.1              1.4              0.0               0.1               0.0              0.1               0.1               0.0             1.3
22                   0.0              2.3           1067.2             0.0             0.2             0.0             0.0             0.1             0.0             0.0             0.2             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.1
23                   0.0              0.7            140.1             0.0             0.1             0.0             0.0             0.1             0.0             0.0             0.1             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
24                   0.0              0.3              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
25                   0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
26                   0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
27                   0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
28                   0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
29                   0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
30                   0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
31                   0.0              0.0              0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0              0.0              0.0               0.0               0.0              0.0               0.0               0.0             0.0
32                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
33                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
34                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
35                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
36                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
37                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
38                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
39                   0.0              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
40                   NaN              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
41                   NaN              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN
42                   NaN              NaN              0.0             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN             NaN              NaN              NaN               NaN               NaN              NaN               NaN               NaN             NaN

written /projects/disruptsc/runs/rhine2026/compare_runs_batch.csv
