date,kaub_cm,source
2018-08-21,65,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-22,62,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-23,57,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-24,56,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-25,60,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-26,68,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-27,73,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-28,73,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-29,74,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-30,74,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-08-31,70,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-01,68,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-02,81,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-03,94,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-04,113,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-05,110,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-06,102,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-07,98,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-08,100,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-09,93,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-10,92,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-11,89,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-12,87,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-13,81,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
2018-09-14,75,"BfG DGJ Wasserstaende Pegel Kaub 25700100, Kalenderjahr 2018 (Tageswerte = Tagesmittel), http://dgj-daten.bafg.de/Rhein/Kaub/25700100_WQ.pdf p.15, Stand 15.08.2021"
