,time_step,id,flow_total,flow_total_tons,flow_domestic_B2C_manufacturing,flow_domestic_B2C,flow_manufacturing,flow_domestic_B2B_manufacturing,flow_domestic_B2B,flow_domestic_B2C_agriculture,flow_agriculture,flow_import_B2C_imports,flow_import_B2C,flow_imports,flow_import_imports,flow_import,flow_domestic_B2B_agriculture,flow_domestic_B2B_mining,flow_mining,flow_export_manufacturing,flow_export,flow_export_mining,flow_export_agriculture
1206,0,1193,1.0784142136942418,1663.5168497773982,0.004210270065634818,0.08870401469820234,0.11979181980239259,0.0035692158326481507,0.28155095298862115,0.08449374463256752,0.513084135498429,0.4380588752427433,0.4380588752427433,0.4438071843635819,0.005748309120838673,0.005748309120838673,0.277504773400108,0.00047696375586507513,0.0017310740298377072,0.1120123339041096,0.26435206164383585,0.001254110273972632,0.1510856174657536
1207,0,494,0.04540790576428258,54.810209742211164,,0.022575608965067974,,,0.017708454526317113,0.022575608965067974,0.04028406349138508,0.005123842272897497,0.005123842272897497,0.005123842272897497,,,0.017708454526317113,,,,,,
1208,0,1198,0.051811826562037484,57.86571134686182,,0.026608353910312778,,,0.02007963037882722,0.026608353910312778,0.04668798428913999,0.005123842272897497,0.005123842272897497,0.005123842272897497,,,0.02007963037882722,,,,,,
1209,0,1648,0.009179591852034406,7.970869598859189,,0.0068084159995242975,,,0.0023711758525101078,0.0068084159995242975,0.009179591852034406,,,,,,0.0023711758525101078,,,,,,
1210,0,496,0.6808636929158987,1204.7453820739036,,0.2052946077373319,0.0013620160640691356,0.0013603030503705048,0.3692479664159788,0.2052946077373319,0.5725146375466521,0.10396642286152145,0.10396642286152145,0.10631666568039544,0.002350242818873986,0.002350242818873986,0.36721728974082646,0.0006703736247818679,0.0006703736247818679,1.713013698630709e-06,4.453082192028079e-06,,2.7400684933973696e-06
1211,0,1543,0.6617129108524824,1171.6758200014162,,0.1892818180715416,0.0013620160640691356,0.0013603030503705048,0.3692479664159788,0.1892818180715416,0.5565018478808618,0.10082843046389556,0.10082843046389556,0.10317867328276954,0.002350242818873986,0.002350242818873986,0.36721728974082646,0.0006703736247818679,0.0006703736247818679,1.713013698630709e-06,4.453082192028079e-06,,2.7400684933973696e-06
1213,0,499,9.789154990986482,4104.031259831113,0.022339169172573614,0.4514990351171719,7.662536115507246,3.3723685168826174,3.3995184420716247,0.42915986594459815,0.8121889020135508,0.2056890086086646,0.2056890086086646,1.3125809994141249,1.1068919908054604,1.1068919908054604,0.02693245935662336,0.00021746583238392694,0.0018489740515620675,4.267828429452055,4.625556514383563,0.0016315082191781405,0.3560965767123292
1214,0,1474,0.026568890374599533,36.9080590099269,0.007077375280192348,0.018294711705756462,0.007201005759644403,,0.0018620890422751844,0.011217336425564113,0.013079425467839297,0.0062706648759533155,0.0062706648759533155,0.006288459147115833,1.7794271162517915e-05,1.7794271162517915e-05,0.0018620890422751844,,,0.00012363047945205475,0.00012363047945205475,,
1215,0,1843,0.0466809263026311,66.94301314127993,0.002784634672253059,0.03933795192804587,0.002784634672253059,,0.0007543512014830352,0.03655331725579281,0.037297660914122635,0.006588623173102184,0.006588623173102184,0.006588623173102184,,,0.0007443436583298213,1.0007543153213977e-05,1.0007543153213977e-05,,,,
1216,0,1270,0.132893340795604,177.13021863490326,,0.08370238723100665,0.006144266887846411,0.006144266887846411,0.04820855968149079,0.08370238723100665,0.12576668002465102,,,0.0009823938831065777,0.0009823938831065777,0.0009823938831065777,0.042064292793644376,,,,,,
1217,0,792,0.04406122813320222,66.04171990499961,,0.03322930485473907,0.0012120590929443232,0.001210346421711448,0.004089804865013624,0.03322930485473907,0.03610876329804126,0.006680794320861547,0.006680794320861547,0.0067404057422166454,5.9611421355098465e-05,5.9611421355098465e-05,0.002879458443302176,,,1.712671232875155e-06,1.712671232875155e-06,,
1218,0,1980,2.3459343169994678,4190.884632948435,,0.02023362235143264,1.8093998397357534,0.00025840103712320285,0.00025840103712320285,0.02023362235143264,0.020315814474720556,0.13489972268287906,0.13489972268287906,0.4802532514876242,0.3453535288047452,0.3453535288047452,,,0.035965411301369876,1.8091414386986302,1.845189042123288,0.035965411301369876,8.219212328791792e-05
1221,0,626,2.38487479848789,4492.665556384525,,0.1361539131396253,1.7995723814545375,1.6217070975750384e-05,0.0054913381105653435,0.1361539131396253,0.14044346869381086,0.06219390987095683,0.06219390987095683,0.40645488901852145,0.3442609791475646,0.3442609791475646,0.004289555554185551,0.0011855654854040425,0.038404059321020506,1.7995561643835618,1.8367746582191782,0.03721849383561646,
1222,0,629,0.2415038929303594,573.9417918290839,,0.10192592379599598,0.031677299250075515,0.031677299250075515,0.13218113979885562,0.10192592379599598,0.201244198859372,0.006143746801261253,0.006143746801261253,0.006143746801261253,,,0.09931827506337608,0.0011855654854040425,0.0024386480196506325,,0.00125308253424659,0.00125308253424659,
1223,0,715,2.119253971676121,780.6627066070523,,0.06725853940853974,1.697956164383562,,,0.06725853940853974,0.06725853940853974,0.029160757640325864,0.029160757640325864,0.3540392678840194,0.3248785102436935,0.3248785102436935,,,,1.697956164383562,1.697956164383562,,
1224,0,1383,0.038014704716558365,66.48905446918201,,0.03492813820548435,,,,0.03492813820548435,0.03492813820548435,0.003086566511074019,0.003086566511074019,0.003086566511074019,,,,,,,,,
1225,0,505,1.1959082876236349,1856.7288260749617,0.004210270065634818,0.15593225854389905,0.13711064240111534,0.020888038431370957,0.32075552547374664,0.15172198847826424,0.6022015545729946,0.4491167074988481,0.4491167074988481,0.4548650166196867,0.005748309120838673,0.005748309120838673,0.2993905232865106,0.00047696375586507513,0.0017310740298377072,0.1120123339041096,0.2643554869863018,0.001254110273972632,0.15108904280821953
1226,0,508,1.2240746255779655,1900.5929430374974,0.004210270065634818,0.20681925909183346,0.14375326435112162,0.027304630929322463,0.29587578921458735,0.20260898902619864,0.6217922263638183,0.4491167074988481,0.4491167074988481,0.45679806083318786,0.00768135333433983,0.00768135333433983,0.2680941945293998,0.00047696375586507513,0.0017310740298377072,0.1122383633561644,0.2645815164383566,0.001254110273972632,0.15108904280821953
1227,0,1461,0.04733165770863271,66.48341584138258,,0.009165832284711338,0.006869496666810568,0.006869496666810568,0.03816582542392137,0.009165832284711338,0.04046216104182214,,,,,,0.0312963287571108,,,,,,
1228,0,506,1.1619214457186307,1797.3413616527548,0.004210270065634818,0.1309204034420464,0.13537844288462622,0.01915583891488183,0.3177145286538026,0.12671013337641154,0.575880902167687,0.44318271751564076,0.44318271751564076,0.4489310266364794,0.005748309120838673,0.005748309120838673,0.2980817259830557,0.00047696375586507513,0.0017310740298377072,0.1120123339041096,0.2643554869863018,0.001254110273972632,0.15108904280821953
1229,0,1407,0.012770032783049412,21.582588865618927,,0.009586374772608704,,,0.00015941055400590435,0.009586374772608704,0.009745785326614608,0.0030242474564348026,0.0030242474564348026,0.0030242474564348026,,,0.00015941055400590435,,,,,,
1230,0,1408,0.009863203375782522,18.879001350229352,,0.007272031576820076,0.0017321995164891204,0.0017321995164891204,0.0025911717989624446,0.007272031576820076,0.0081310038592934,,,,,,0.0008589722824733242,,,,,,
1231,0,1298,1.16310321196717,1788.8307444476347,0.004210270065634818,0.14093593094745552,0.1267205396999559,0.010497935730211488,0.30888419273939854,0.1367256608818207,0.5857205716008965,0.44318271751564076,0.44318271751564076,0.4489310266364794,0.005748309120838673,0.005748309120838673,0.297909293253322,0.00047696375586507513,0.0017310740298377072,0.1120123339041096,0.26435206164383585,0.001254110273972632,0.1510856174657536
1233,0,507,1.2644176089891903,1960.3249604231778,0.004210270065634818,0.23505995603233784,0.14416275919293922,0.027714125771140054,0.3049292552683041,0.23084968596670302,0.6586768945162217,0.452165527915852,0.452165527915852,0.4598468812501918,0.00768135333433983,0.00768135333433983,0.27673816574129906,0.00047696375586507513,0.0017310740298377072,0.1122383633561644,0.2645815164383566,0.001254110273972632,0.15108904280821953
1234,0,1100,0.9044955525168796,1432.8874277283671,0.004210270065634818,0.09866601616467757,0.024135933263378324,0.009352713540209272,0.1733785785483543,0.09445574609904275,0.4084763980402166,0.4634196790665801,0.4634196790665801,0.47013006157097076,0.006710382504390709,0.006710382504390709,0.16352681563980392,0.0004990493683411335,0.0017531596423137656,0.010572949657534235,0.16232089623287688,0.001254110273972632,0.15049383630137003
1235,0,642,0.04034298341122512,59.732017385680294,,0.02824069694050436,0.00040949484181759317,0.00040949484181759317,0.009053466053716845,0.02824069694050436,0.036884668152403606,0.0030488204170039247,0.0030488204170039247,0.0030488204170039247,,,0.00864397121189925,,,,,,
1236,0,509,0.1250263799059014,151.43840415391665,0.0027853105744765987,0.09940851107763117,0.004656708666826294,0.001868657338925008,0.022092375114807595,0.09662320050315457,0.11684691827903716,0.00295916007845333,0.00295916007845333,0.0035227529600379455,0.0005635928815846153,0.0005635928815846153,0.020223717775882593,,,2.7407534246868125e-06,2.7407534246868125e-06,,
1237,0,1845,0.4509417563344916,657.6316503597214,0.006165901867310617,0.16523650367816844,0.1699688242582804,0.06193065971973683,0.0774585325845142,0.15907060181085783,0.17454265310168549,0.07814027098741802,0.07814027098741802,0.10578199096222005,0.027641719974802036,0.027641719974802036,0.014879584852471543,0.0006482880123058095,0.0006482880123058095,0.10187226267123294,0.10246472910958905,,0.0005924664383561092
1238,0,865,0.08874865721751396,117.09751640427018,0.0027853105744765987,0.07035442249084124,0.0039373954625287555,0.00114934413462747,0.018391493973248036,0.06756911191636465,0.0848112617549852,,,,,,0.017242149838620564,,,2.7407534246868125e-06,2.7407534246868125e-06,,
1239,0,1067,0.012963583435930605,8.871887131989288,,0.007656773654297671,0.00022385422728363622,0.00022385422728363622,0.0019212818788237383,0.007656773654297671,0.009354201305837773,0.00295916007845333,0.00295916007845333,0.0033855279028091965,0.00042636782435586637,0.00042636782435586637,0.001697427651540102,,,,,,
1240,0,1765,0.04098233751316623,55.999616283522435,,0.03861780473863439,0.0009431674315811742,0.0009431674315811742,0.002227307717303099,0.03861780473863439,0.03990194502435631,,,0.00013722505722874894,0.00013722505722874894,0.00013722505722874894,0.0012841402857219247,,,,,,
1241,0,511,0.16298554819639055,285.4934028202698,,0.1462413843123871,0.001972166258719367,0.001972166258719367,0.007421131978180583,0.1462413843123871,0.1516903500318483,0.009323031905822886,0.009323031905822886,0.009323031905822886,,,0.0054489657194612155,,,,,,
1242,0,888,0.05459076536860806,96.67345143744286,,0.05459076536860806,,,,0.05459076536860806,0.05459076536860806,,,,,,,,,,,,
1243,0,1041,0.009693890270194344,16.231680650764808,,0.006217956332370427,,,,0.006217956332370427,0.006217956332370427,0.0034759339378239175,0.0034759339378239175,0.0034759339378239175,,,,,,,,,
1244,0,1371,0.015017031502891177,25.83792671158151,,0.012208874101770403,,,,0.012208874101770403,0.012208874101770403,0.0028081574011207732,0.0028081574011207732,0.0028081574011207732,,,,,,,,,
1245,0,515,0.01581471043507177,24.1919591207713,,0.014772275639715046,,,0.0010424347953567226,0.014772275639715046,0.01581471043507177,,,,,,0.0010424347953567226,,,,,,
